annual_income,loan_amount,loan_term_months,credit_score,autopay_enrolled,target
101292.44,55012.24,36,714,yes,1
83076.23,39342.71,36,549,yes,1
42353.38,10122.45,36,499,yes,1
61357.48,30288.31,48,529,yes,1
51968.02,24410.81,72,569,yes,1
81011.42,80903.68,36,755,yes,1
26082.43,7070.67,72,543,no,1
92066.62,24437.22,24,531,yes,1
66092.35,17748.46,72,586,no,1
92738.46,33904.23,36,543,yes,1
96899.73,55845.05,48,637,no,1
87700.9,75853.89,24,650,yes,1
94570.66,53876.2,24,643,no,1
68937.4,15567.12,60,573,yes,1
39554.06,20837.16,36,442,no,1
31845.8,18792.24,36,486,no,1
49571.34,25852.39,84,397,no,1
102052.2,65808.11,24,717,yes,1
37057.5,11100.89,36,330,no,1
92355.13,89985.71,24,752,yes,1
84229.21,51616.28,24,650,yes,1
108011.22,51094.6,24,726,no,1
88112.97,59077.06,60,789,no,1
25138.14,5618.56,48,492,no,1
119012.38,52829.87,84,551,yes,1
53971.44,19884.17,84,668,yes,1
67150.07,66745.3,60,656,no,1
86235.66,57544.64,24,777,no,1
106203.89,71692.78,72,688,yes,1
65538.89,35917.0,60,571,yes,1
69188.62,27596.33,72,476,no,1
41631.05,18436.58,60,330,no,1
75490.29,25936.13,72,530,yes,1
79806.6,22061.74,36,409,no,1
59477.08,66453.33,48,721,yes,1
80907.42,76453.96,60,814,yes,1
62482.91,65635.21,84,660,no,1
53117.56,43017.2,60,638,no,1
46209.24,31526.41,84,650,yes,1
29215.75,11232.62,24,581,yes,1
100920.57,62257.72,60,760,no,1
30411.13,6575.18,24,331,yes,1
44950.86,14666.19,60,361,no,1
88521.27,50469.81,24,819,yes,1
50642.96,11875.92,36,545,yes,1
80303.69,42381.45,48,615,yes,1
119431.71,76778.69,48,756,yes,1
27282.26,7500.26,24,360,no,1
97910.53,37498.67,24,602,yes,1
30038.55,10856.23,84,455,no,1
37092.25,17517.85,48,501,yes,1
60852.17,55076.92,36,718,no,1
74078.71,40825.77,84,508,no,1
65951.43,16144.1,36,545,no,1
62117.06,21389.62,60,596,yes,1
58790.01,18212.69,60,469,no,1
98797.02,42103.62,24,677,yes,1
30707.62,13324.21,84,425,no,1
29312.08,21664.27,36,600,yes,1
69333.1,28827.72,72,698,yes,1
73816.02,35551.1,48,438,yes,1
79688.56,20514.49,24,519,yes,1
118405.19,82936.79,24,795,no,1
41956.14,17826.1,36,413,no,1
98864.92,44705.55,24,683,yes,1
105317.58,60609.85,60,713,no,1
89909.8,50743.76,24,541,yes,1
105620.07,88564.25,60,665,yes,1
92836.84,63825.59,36,728,yes,1
57617.96,43846.89,60,723,yes,1
100846.81,64510.39,24,660,no,1
71929.69,78499.41,84,730,no,1
107187.66,52014.38,48,605,no,1
60068.51,12722.73,84,480,yes,1
84527.51,29707.02,36,575,yes,1
97543.05,60795.15,48,806,yes,1
60558.58,19400.92,24,533,yes,1
34947.54,21609.05,36,567,yes,1
54701.53,13582.39,72,400,yes,1
85811.37,50652.99,36,667,yes,1
98884.68,53635.94,24,522,no,1
29630.65,6499.48,24,440,no,1
93380.74,87639.48,24,833,yes,1
42026.91,18416.86,84,507,no,1
41772.75,11241.39,24,442,yes,1
84805.18,34974.36,24,545,no,1
113914.78,32922.67,72,509,yes,1
82325.3,81677.0,24,751,yes,1
108681.82,53880.54,60,678,no,1
81185.65,33363.68,36,598,yes,1
88901.73,48086.28,48,776,yes,1
28521.01,15664.68,24,500,no,1
83428.91,66688.48,24,702,yes,1
55476.75,17026.26,60,574,yes,1
106369.3,41229.03,48,559,yes,1
31244.23,20795.19,84,621,no,1
51669.29,11858.56,84,507,yes,1
62004.8,28438.94,24,594,no,1
77990.16,47469.11,24,422,yes,1
86304.37,84426.65,48,809,yes,1
89101.59,71548.82,36,698,no,1
89818.73,54543.37,72,550,no,1
115106.52,53971.76,36,588,yes,1
92190.46,53814.6,24,539,yes,1
40431.42,19858.05,72,335,no,1
65520.59,18066.36,72,467,no,1
58734.98,31007.97,36,533,no,1
63453.11,25155.79,24,564,yes,1
77189.14,49024.85,36,622,no,1
78625.27,78296.47,60,707,yes,1
39152.98,18028.22,84,616,yes,1
87583.65,56481.33,24,733,yes,1
85294.26,30026.17,24,584,yes,1
97189.89,49099.7,36,562,no,1
69375.15,34931.37,24,512,yes,1
42900.66,12517.48,24,315,no,1
88045.24,26705.65,84,604,yes,1
74183.47,35651.45,84,465,yes,1
37526.33,14349.08,24,314,no,1
63502.09,27644.68,60,490,yes,1
33567.53,18782.26,24,440,no,1
36939.91,13882.99,24,366,yes,1
66246.11,39528.05,24,534,yes,1
108548.54,42338.25,24,662,yes,1
28164.12,15515.32,24,411,no,1
56343.5,27425.62,24,534,yes,1
68906.38,14429.06,24,402,yes,1
93395.6,68015.49,24,830,yes,1
39482.76,16150.48,36,474,yes,1
81115.84,24390.2,24,519,yes,1
85232.75,46111.33,84,618,no,1
36397.91,19523.72,48,386,no,1
84605.86,27561.69,60,567,no,1
109726.69,71410.99,24,742,yes,1
89645.05,78031.35,48,697,yes,1
67840.71,19686.49,48,508,no,1
106229.48,45673.48,24,547,yes,1
48280.11,12180.61,24,378,yes,1
27347.7,15324.73,84,370,no,1
41277.6,25245.06,24,414,yes,1
98503.36,79077.48,84,783,yes,1
58479.82,15467.16,24,448,yes,1
94475.72,70728.82,72,710,no,1
40678.91,20877.61,24,648,yes,1
81481.78,35399.35,36,574,no,1
40925.09,17006.77,24,485,yes,1
97563.03,53056.49,36,711,yes,1
59924.48,18265.43,24,502,yes,1
51056.89,18711.54,60,527,yes,1
109610.73,88932.08,48,662,no,1
59705.54,20192.44,36,498,yes,1
37717.9,11033.41,24,476,yes,1
115228.16,68084.62,72,763,yes,1
28421.21,8256.9,24,432,no,1
50816.34,22285.91,36,621,yes,1
56445.0,52326.93,24,672,yes,1
26025.07,12503.5,84,537,yes,1
68146.82,61592.16,60,687,yes,1
86209.33,88988.14,48,727,yes,1
65538.01,67305.37,36,674,no,1
102999.15,28801.87,36,546,yes,1
37387.43,8003.26,24,305,no,1
