annual_income,loan_amount,loan_term_months,credit_score,autopay_enrolled,target
58279.4,58970.28,60,652,no,0
59980.4,37859.79,36,608,yes,0
83773.25,39588.39,24,508,no,1
44702.85,20516.93,48,518,yes,0
115238.07,87459.26,24,672,yes,0
56797.55,41800.11,24,625,yes,1
42032.59,12197.66,24,356,no,0
118010.99,59816.58,48,510,no,0
119352.54,71762.46,36,730,yes,1
87814.13,18049.29,24,530,no,0
26983.46,9892.62,48,466,yes,1
74124.16,33077.21,72,666,yes,1
80886.94,38081.22,72,582,yes,1
77157.65,43918.19,24,609,no,0
59806.99,33134.71,36,733,yes,1
99589.83,38638.5,24,563,no,1
61752.36,50144.49,48,603,no,1
104485.64,65751.08,48,669,yes,0
72906.64,40566.14,36,444,no,1
55373.83,22686.7,48,522,yes,1
103859.49,80412.23,60,802,yes,0
118738.01,86107.27,36,820,yes,1
85248.69,81391.01,84,818,no,1
44308.72,17657.83,48,600,no,1
72465.34,24302.75,48,553,yes,0
110600.74,85520.51,36,660,yes,1
56685.64,21306.7,72,462,no,1
100228.73,87949.73,24,824,yes,0
41772.35,16431.56,48,386,no,0
83676.04,62951.7,36,770,yes,1
107581.03,84145.27,48,648,no,0
51749.59,29666.63,48,577,yes,1
59841.92,35439.16,24,428,yes,1
71558.2,63097.7,60,734,no,0
88277.06,29569.81,60,617,yes,1
117205.27,78935.84,36,780,yes,0
99234.5,38811.3,36,603,yes,0
98863.33,54314.41,60,660,yes,1
85172.42,62606.3,72,832,no,0
39472.87,21180.03,24,590,no,1
49816.25,12142.18,36,445,yes,0
53726.99,14921.74,24,430,yes,0
87032.53,29844.17,24,684,no,0
116189.53,69685.07,24,706,yes,0
92051.98,64265.34,48,765,yes,0
44557.08,33225.58,24,602,yes,0
41899.49,24912.81,36,435,no,0
88118.44,76265.55,24,820,yes,0
29703.44,15132.12,84,567,no,0
65117.63,18556.78,60,584,no,1
67293.45,22646.16,36,495,yes,0
32231.74,19291.39,36,389,no,0
99826.76,78774.31,60,826,yes,1
108864.12,59192.15,24,579,no,0
66003.82,18678.37,36,412,no,1
99530.28,61954.86,60,826,yes,0
55799.07,63864.04,60,730,no,0
87730.25,66388.48,36,795,yes,0
27998.31,20686.77,36,608,no,0
112642.82,84671.74,72,720,yes,0
56407.67,29543.45,36,562,no,1
101913.71,85851.08,24,754,yes,0
83649.61,18431.33,24,568,no,1
94655.4,81040.94,36,836,yes,0
32740.14,9740.19,48,403,no,0
79565.49,63601.44,48,611,no,1
39594.68,20288.83,24,321,yes,1
64914.41,82511.12,24,729,yes,0
68219.34,66156.57,36,728,no,0
49341.93,16011.83,60,451,no,0
86068.76,65555.46,60,709,no,1
79407.81,42616.06,24,568,yes,0
95962.66,45268.54,24,530,yes,1
102296.72,79243.2,48,720,yes,0
98369.84,49515.82,36,640,yes,0
111984.69,78193.38,36,689,no,1
78377.25,22402.73,60,412,no,0
98997.17,75359.16,60,727,yes,0
73023.83,29939.13,60,663,yes,1
117279.37,59022.04,24,594,no,1
65555.1,13869.25,84,454,no,1
97038.44,73221.14,48,723,yes,0
32100.64,14581.69,24,348,no,1
112956.89,82755.51,24,638,yes,1
36285.12,19607.57,48,356,yes,1
37659.51,9237.29,24,542,no,0
117422.65,77029.91,24,673,no,1
109696.54,46019.24,24,582,yes,1
111391.86,71909.94,60,769,yes,1
73844.82,33947.05,24,697,yes,1
55614.37,22682.91,48,655,yes,1
65230.76,24735.43,24,496,yes,1
80221.94,42981.85,24,517,no,0
67861.59,30702.36,36,524,yes,1
81808.17,48599.09,36,559,no,0
83303.11,59294.0,24,781,yes,0
95574.07,72222.43,48,683,yes,0
83118.47,38137.78,36,565,no,0
82575.44,17612.27,24,518,no,1
27252.65,14374.72,24,508,no,0
96721.43,69493.27,48,705,yes,0
98744.58,29811.41,36,578,yes,1
78186.57,21473.09,24,534,no,1
86397.92,58235.25,60,737,yes,1
64671.99,19980.84,60,647,yes,1
91459.41,31310.52,24,634,yes,1
61119.06,51989.09,36,684,yes,1
25167.3,11466.87,84,484,yes,1
77655.3,28374.0,36,496,no,1
31432.88,13901.94,72,508,no,1
60705.04,26013.82,84,425,yes,1
54333.49,36096.67,24,656,yes,1
59185.0,25598.68,72,476,yes,0
63541.96,53913.1,24,709,yes,1
71869.75,59091.23,84,630,yes,0
69187.72,70982.74,72,695,no,0
83358.88,65225.25,24,821,no,0
104574.64,38948.81,24,693,no,0
83878.74,67478.69,60,746,yes,0
90171.62,67259.59,72,779,yes,1
39134.28,11497.09,24,362,yes,1
97886.08,55069.82,60,654,yes,0
32737.33,19768.98,36,380,yes,1
42539.35,13870.47,84,403,no,0
34180.91,13430.45,48,555,no,0
75035.51,74331.34,48,746,yes,0
103649.32,67935.19,36,825,no,1
49007.58,27038.77,24,353,yes,0
62473.42,23870.88,48,660,yes,0
113497.3,81227.18,36,634,no,0
79239.24,41047.68,48,644,no,0
41657.86,17539.68,24,413,yes,1
107151.61,62443.87,24,552,no,0
81968.36,81727.75,72,686,yes,1
60324.61,60541.92,60,726,yes,0
64278.25,50919.8,60,698,yes,0
49276.28,31477.94,48,618,no,0
94203.29,81886.96,60,790,yes,0
53903.42,21177.01,24,526,no,1
25266.64,12001.77,48,468,no,1
30570.02,7570.25,36,369,yes,1
86028.41,42635.07,48,739,yes,0
68071.67,56884.28,60,609,no,0
74057.22,39530.94,24,500,no,0
91699.72,53224.21,84,809,no,1
47026.83,20270.29,48,628,yes,0
64937.03,59696.13,24,693,yes,0
87831.57,80307.65,84,838,yes,1
101017.55,28528.51,24,627,yes,0
56492.05,59338.41,24,749,yes,1
117114.66,42595.9,60,551,no,0
94967.47,48112.85,36,516,yes,1
53300.27,44210.23,48,672,yes,0
33900.0,13940.3,36,639,yes,0
51591.61,55187.79,72,721,yes,0
64883.6,27451.6,36,403,no,1
94508.93,46934.22,48,506,yes,1
64373.02,30799.76,60,463,yes,1
43006.23,31232.26,36,612,no,0
63219.54,31886.55,24,553,yes,1
116791.34,70139.09,24,787,yes,1
91018.1,73884.26,24,731,no,1
31655.3,23328.63,48,635,no,0
32807.83,13396.94,24,515,no,0
97516.68,63411.37,48,663,yes,0
83001.66,55684.29,36,782,yes,0
31214.27,13166.39,60,614,yes,0
42172.27,23068.78,84,470,yes,1
111037.96,56008.86,48,555,no,1
84035.74,50812.33,48,720,no,0
61134.38,27587.94,36,581,yes,0
93405.11,83915.57,24,765,yes,0
32656.15,14594.37,24,597,yes,1
63024.96,36132.6,48,678,no,0
83971.71,60071.62,24,836,yes,0
39612.14,23063.66,60,344,no,1
59829.03,36710.46,48,609,no,1
76422.16,31687.95,48,592,yes,1
84469.32,89864.55,24,737,yes,0
92804.35,68984.64,36,665,yes,0
69014.67,40742.93,24,746,yes,1
109609.95,63601.59,60,732,yes,0
101038.64,64957.22,24,740,yes,1
47904.07,25698.86,24,521,yes,1
49729.03,21747.92,36,612,yes,1
117637.78,66291.52,84,707,yes,1
116625.68,69721.84,48,807,no,0
97902.86,61992.91,48,753,yes,1
32772.08,7850.64,48,332,yes,0
104631.88,37732.66,36,578,yes,0
94481.82,68447.44,60,816,yes,0
119698.68,75762.57,24,742,no,0
71454.33,31472.91,24,625,no,1
74048.96,41160.59,72,517,no,1
82658.97,37673.23,24,630,yes,0
70628.79,40054.75,48,500,no,1
88309.51,80799.53,48,830,no,0
32627.26,26773.69,36,630,yes,1
111812.13,83961.1,60,771,yes,0
26554.39,8931.32,24,400,no,1
119327.83,59612.3,36,583,no,1
82223.89,26327.17,36,590,yes,0
101505.13,41758.59,24,519,no,1
76074.32,40750.6,36,509,no,0
115966.52,73101.82,24,781,yes,1
104828.33,78135.93,36,797,no,0
35316.14,8068.09,24,425,yes,0
105611.17,67407.49,60,714,yes,0
49362.14,10933.62,24,591,yes,0
106696.15,25450.35,24,564,yes,1
103696.39,63035.39,24,802,yes,0
67150.28,30525.75,48,622,no,0
119612.81,89364.78,24,798,yes,1
56582.08,32811.04,24,662,no,0
114602.61,73392.15,72,813,yes,0
55360.35,39305.57,36,714,yes,0
119276.34,74109.34,36,744,no,1
110153.05,42275.35,24,552,no,1
66164.6,55169.0,36,617,yes,1
29977.96,7844.25,60,562,yes,1
27100.44,5933.19,36,492,yes,1
69847.7,50180.96,60,657,no,0
36027.8,28668.54,84,608,yes,0
31282.13,7669.27,36,448,no,0
53792.42,33642.24,36,636,yes,0
32168.44,16582.94,72,394,no,1
97758.49,72932.01,72,843,yes,1
85132.9,48016.44,48,638,yes,1
58602.05,26432.93,36,601,yes,1
106747.85,50681.71,24,508,yes,0
85239.27,59514.34,36,683,yes,1
105460.84,73376.23,36,696,yes,0
79345.49,39327.9,60,712,no,0
47944.87,25405.21,48,599,yes,1
65880.7,31709.58,48,630,yes,1
43469.43,12432.02,24,511,yes,0
81949.54,33949.88,24,546,yes,1
119592.76,57124.36,36,711,yes,1
119764.09,36498.85,36,622,yes,0
47541.2,9946.34,36,321,yes,1
104045.5,56676.68,60,677,yes,1
31578.45,10786.78,24,492,yes,0
52073.73,28308.4,60,594,yes,0
67650.82,65186.2,24,731,yes,1
30856.03,17509.62,60,336,no,0
70884.47,85828.19,60,702,no,0
50199.82,23962.74,84,689,no,1
50234.43,42378.63,24,666,no,0
25087.89,5982.11,36,569,yes,1
56703.99,42223.46,84,729,yes,1
71111.92,40682.86,24,608,no,0
61875.7,84338.52,24,725,yes,0
32387.46,19396.37,24,462,yes,1
48931.05,9893.9,60,362,yes,1
87918.22,33273.41,24,590,yes,0
69049.06,88111.63,24,738,yes,1
27279.06,13195.53,24,521,yes,1
119229.07,86214.57,60,803,yes,0
80539.3,59969.43,36,722,yes,0
102870.85,46429.17,60,593,no,1
88820.61,51330.94,24,511,no,0
107318.36,66339.07,36,630,no,0
70658.82,65932.05,48,653,yes,1
85218.55,44951.45,60,706,yes,1
27381.2,6326.56,36,403,no,1
29481.3,17121.43,84,572,yes,1
51793.19,23935.48,36,612,yes,1
112225.35,49424.71,36,667,yes,0
110155.79,87220.5,48,784,yes,0
85767.44,79788.47,24,824,yes,0
92274.98,88406.77,24,714,yes,1
87238.92,60199.35,24,747,no,0
62983.33,30041.9,72,739,yes,1
30019.98,12354.16,48,521,no,1
64295.99,38218.08,24,692,yes,0
85497.88,55434.43,24,616,no,0
34361.57,9307.26,24,442,no,1
115932.23,74676.02,36,682,yes,0
93884.88,65555.12,60,655,yes,0
25342.75,14173.79,48,438,no,0
53904.9,33518.88,60,709,yes,1
117956.83,40707.41,24,633,yes,1
51210.49,23022.55,60,529,no,1
87709.03,32441.41,24,663,yes,0
70211.8,62965.78,24,656,yes,1
92028.88,59020.87,24,756,yes,0
43796.25,15519.11,84,528,yes,1
29340.24,9146.06,24,570,yes,1
81166.8,45363.72,24,516,no,0
71466.3,35131.3,24,463,no,1
63615.16,30928.32,36,644,no,0
103203.99,33016.55,36,622,yes,0
84594.15,40034.74,36,609,no,0
77728.46,23512.81,36,446,no,1
53583.41,14305.73,24,548,yes,0
27653.83,7024.51,60,478,no,1
110795.27,85789.74,48,765,yes,0
27908.16,12346.89,24,638,yes,1
66840.79,31979.72,24,478,yes,1
117114.89,81665.13,24,728,yes,1
68881.73,53687.61,48,663,yes,0
112791.94,55691.01,48,677,yes,1
115528.31,53805.51,36,507,yes,1
51158.09,23310.0,72,667,yes,1
102970.2,76464.41,60,602,no,0
38426.77,18249.64,48,518,no,0
91922.35,73370.88,60,721,no,0
58902.71,49696.99,24,616,no,1
60680.28,18946.07,36,496,no,1
91733.76,72566.02,36,711,yes,1
96382.45,76142.76,60,785,yes,1
37452.99,22908.42,84,585,yes,1
42750.95,23280.73,24,508,no,1
29953.88,17121.36,36,547,yes,1
31446.77,16341.26,36,639,yes,1
55283.08,30009.29,24,659,yes,1
47711.27,16425.7,48,349,no,1
74154.57,17139.67,72,505,yes,1
92063.79,35103.61,84,619,no,1
117970.87,64490.14,48,841,yes,0
67239.99,31722.39,48,572,yes,1
51328.29,28195.86,24,574,yes,0
72007.35,85018.25,60,737,yes,0
52982.31,17418.07,60,613,yes,0
86453.47,63936.68,48,651,yes,1
108042.28,50181.23,24,604,yes,0
74729.67,20623.24,36,631,yes,1
26627.17,16860.73,24,494,yes,1
114604.64,76139.41,36,845,no,1
114801.18,76266.17,36,624,yes,0
72885.3,33395.43,84,467,no,1
59902.93,39732.83,24,735,no,1
117732.87,77106.35,24,766,yes,1
29465.63,14081.48,36,327,yes,1
81617.97,40502.23,48,515,yes,0
85376.86,27918.32,36,524,yes,1
37352.96,7506.15,48,388,yes,1
88507.71,54071.84,36,814,no,0
43427.79,22588.05,24,314,no,1
44102.68,21106.6,24,576,yes,1
52851.15,22099.94,36,434,no,0
47620.01,36272.96,36,624,yes,0
71340.79,23083.74,24,468,yes,1
87840.85,59135.61,24,745,yes,0
